,title,company_name,company_location,rating,salary,post_date,summary
53,Python Software Engineer - Credit Trading,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,PostedJust posted,"It is a Python based platform that offers Technologists, Quantitative Analysts and Risk Managers a cross-asset portfolio of models, frameworks and tools to use…"
54,Graduate Software & Data Engineering Programme,Sigma Labs XYZ,Temporarily Remote in London,,,Posted19 days ago,No Previous Coding Experience Required to Apply - then £30k Salary*.All promise 6-16 weeks of technical training and then hopefully a 2-year job with one of…
55,Junior Developer,Clearwater People Solutions,London,,,Posted20 days ago,"£30000 - £40000 £30000 - £40000 per annum + .The Junior Developer will be part of an experienced and structured development team, taking an analytical approach…"
56,Python / Django Software Engineer,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted13 days ago,"Python and Django full stack development.Experience working with SQL databases.Good understanding of systems design, modern software development best…"
57,Junior Python Developer,IC Resources,London,,,Posted30+ days ago,"Salary: DOE + Excellent Benefits.This position is to design, build, optimise and implement algorithms to facilitate the additions of new actions to there games…"
58,Python/C# Developer - Front Office,Vertus Partners,London,,,Posted30+ days ago,"Experience in a Front Office development environment working directly with the Trading Desk.Good business knowledge (Fixed income, Interest rates, Derivatives)…"
59,Python Developer - Risk,Maven,London,,,Posted30+ days ago,Strong production level Python expertise.Experience writing unit tests for Python based applications.Minimum 5 years experience in professional software…
60,Senior Software Developer (Python/SQL),"Nomura Holdings, Inc.",London,,,Posted30+ days ago,Job Code: 1211054 Skill Category: Global Markets Location: EMEA Client Job Ref: Contract Length: Job Type: Temporary Post Start Date: 2 Feb 2022 Post…
61,Fully Remote Python (Django) Developer,GCS Recruitment Specialists Ltd,Remote in London,5.0,"£35,000 - £90,000 a year",Posted30+ days ago,Permanently Remote or Cambridge Based.Salary - Dependent on experience + expenses + benefits.Python / Linux Engineer for a logistic organisation based in…
62,Python Developer,Apollo Solutions,London,,,Posted18 days ago,"Rate: Â£650-Â£750 per day (dependent on experience)Â.Contract Duration: 12+ Month, to start as soon as possible.Â.Python Developer 5+ yearsâ experience."
63,Python Developer,Consortia,Remote in London,,,Posted30+ days ago,Some key experience required for this Python Developer role are:Must be comfortable with the Python/Django framework and production deployment of Python/Django…
64,Expert Python Developer,AXA Funds Management,London,3.9,Full-time,Posted30+ days ago,As part of the TSF and Operations strategy we will be re-engineering the trading and ops architecture to a standard 3 tier approach to include a Python business…
65,Python Full Stack Developer,RWE Supply & Trading GmbH,London EC2R,4.0,Full-time,Posted20 days ago,"To start as soon as possible, Full time, Permanent.Additionally the desk is in the process of implementing a more efficient approach to data analytics, which…"
66,Lead Strat Developer,Deutsche Bank,London,,,Posted11 days ago,You will be joining t he Group Strategic Analytics (GSA) which concentrates Deutsche Bank’s quantitative and modelling expertise within a single unit.
67,Python Software Engineering - Quant Engineering - Asset Mana...,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted5 days ago,"Your expertise in various technology domains will be counted on to set strategic direction and solve complex and mission critical problems, internally and…"
68,Junior Programmer Associate,BWD Search & Selection Ltd,London,,,PostedToday,We are looking for a Junior Programmer to join an existing team to work on coding projects predominantly based around Excel and Python.
69,Senior Python Developer,Linux Recruit,London,,,Posted30+ days ago,"A large part of your role will be to work on a greenfield security implementation, so previous experience in this area willbe a huge plus."
70,Python Developer - FinTech,Linux Recruit,London,,,Posted30+ days ago,"This a new product used by millions up and down the UK and acquiring new users by the day.Some of the additional technology will include Docker, Kubernetes,…"
71,Backend Developer,Octopus Energy,London,4.2,Full-time,Posted30+ days ago,Have experience in Python and related frameworks such as Flask or Django.Have experience with Postgres or equivalent databases.
72,Python Developer,E-Resourcing,Remote in London,,,Posted6 days ago,Python Developer - Contract - 12 months - £620 per day to Umbrella (inside IR35).Preference is for someone to be able to get to London Office a couple of times…
73,Python Developer,Myles Roberts,Remote in Greater London,,,Posted30+ days ago,Myles Roberts are currently looking to bring onboard an experienced Python Developer to work with a global banking client.
74,Backend Python Developer,Harnham,London,4.6,"£60,000 - £75,000 a year",Posted30+ days ago,This role does not provide sponsorship.Designing and developing API's.Promoting best development practices in the software engineering life cycle.
75,RAD Developer,MARGO CONSULTING,London,,,Posted30+ days ago,Work as a business aligned RAD developer in our front office Technology team.Margo is a Tech Native consulting firm accompanying companies in their digital…
76,Python Developer - Digital Engineering,CAPCO,London,,,Posted30+ days ago,"Capco is a global technology and business consultancy, focused on the financial services sector.We are passionate about helping our clients succeed in an ever…"
77,Full Stack Developer - Associate,Morgan Stanley,London,3.8,Full-time,Posted20 days ago,An understanding of mobile application development is desirable but not required as the role requires working side by side with mobile developers in other teams…
78,Python Developer(Lead II - Software Engineering),UST Global,Hybrid remote in London,,,Posted6 days ago,"We’re looking for a passionate Python technologist, preferably with a quant based OR mathematical/ financial background to join our team in London."
79,Python Developer (mid-senior),ECOM Recruitment,Remote in London,,,Posted10 days ago,"6 Month Contract Outside IR35.ECOM are working in partnership with with an end-to-end product consultancy, working predominantly on greenfield projects,…"
80,Senior Python Developer,Lab49,London,,,Posted4 days ago,Lab49 has an opportunity available for a Python Developer to lead work on complex and challenging projects to drive transformative change for our top tier…
81,Python developer.,Lorien,London,,,Posted7 days ago,"My client is a global law firm who are on a data journey, recently hiring a head of data to bring in a new global strategy and culture around data."
82,Python Developer - eCommerce,Linux Recruit,London,,,Posted30+ days ago,"Working closely with fellow developers, SME's, testers and designers you will use technology to automate tasks, simplify work-flows and create new Python…"
83,SRE - Chase UK,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted19 days ago,"Here at JPMorgan Chase & Co., we know that people want great value combined with an excellent experience, from a bank they can trust."
84,Senior Python Developer,FXC Intelligence,Remote in London EC2Y,,,Posted7 days ago,We are looking for an enthusiastic senior python developer who is is already at an advanced level.Recent experience as a senior developer.
85,Python Software Engineer - Analytics Platform,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted23 days ago,"Within the team you'll be working with the other python developers to deliver services using python, an object datastore and compute grid."
86,Senior Full Stack Developer,Hippo Digital Limited,London SW1V,,,Hiring ongoing,An aspiration to share knowledge with junior developers and the wider consultancy.You will have experience of leading the development of services with a team…
87,Quantitative Developer,WorldQuant,London,,,Posted30+ days ago,WorldQuant develops and deploys systematic financial strategies across a broad range of asset classes and global markets.
88,Software Developer Veteran Training Programme,SaluteMyJob,Woking,,,Hiring ongoing,"Roke, a leading UK innovator in science and engineering, is looking to train people from the Armed Forces community as software developers, before transitioning…"
89,Python Developer (Financial Modelling),Legal & General Investment Management,London,,,Posted30+ days ago,"Your role at a glance.Looking to drive forward innovative software design through your analysis, modelling and coding experience?What you'll be doing."
90,Test Automation Engineer,White Swan Data,London WC1X,,,Posted21 days ago,This entails the development of mathematical/statistical models and high-performance algorithms; efficient coding; automation of betting operations; data…
91,Corporate Treasury Strats - Quantitative Analyst/Developer,Goldman Sachs,London EC4A,4.0,Full-time,Posted30+ days ago,"Corporate Treasury lies at the heart of Goldman Sachs, ensuring that businesses have the appropriate level of funding to conduct their activities, while also…"
92,Business Intelligence Developer,Maintel,Hybrid remote in London,3.4,"£55,000 - £64,000 a year",EmployerActive 5 days ago,As the Business Intelligence Developer you will be an experienced and adaptable data professional who will support Maintel to expand our business intelligence…
93,Web Developer,UBS,London,3.8,Full-time,Posted30+ days ago,"The team's focus is development of our strategic web platform responsible for managing the business’ workflow data, reference data, data stewardship, and data…"
94,Lead Developer,LSEG (London Stock Exchange Group),London,3.7,Full-time,Posted30+ days ago,"As a Full Stack Lead Developer in Benchmarking and Indices Division in Data & Analytics, the individual will be responsible for developing and supporting…"
95,Python Developer - (x4) Remote,TechNET IT Recruitment Ltd,Remote in London,4.5,"£65,000 - £85,000 a year",Posted30+ days ago,"You will be working as a contributor, remote-first in a cross-functional product development team reporting to the team’s Lead Software Engineer."
96,"Software Developer - Java, Python or Go",Linux Recruit,London,,,Posted30+ days ago,"You will be responsible for working with a team dedicated to building the best tools and platforms to fit the different client and business needs, within a…"
97,Software Developer,Oddbox,London SW8,,,Posted7 days ago,"You who will be responsible for supporting software development.You will work as an integral part of our engineering team, supporting and collaborating with…"
98,Python Developer - HPC & Data Platforms Team,Maven,London,,,Posted30+ days ago,"You will work alongside the best traders and developers, using open-source and in-house tools to build our data platform and produce measurable improvements…"
99,Senior Applications Developer,The National Foundation for Educational Research,Hybrid remote in Slough,,,Posted3 days ago,"As an Applications Developer, you’ll translate software requirements into workable programming code and maintain and develop programs and bespoke web…"
100,Python Developer/Software Engineer,Bank of America,London,3.8,Full-time,Posted30+ days ago,The role offers the opportunity for involvement throughout the software development lifecycle and will include development of major green field components.
101,UK - Front-end Software Engineering,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted3 days ago,"Write high-performance, reusable and scalable code and libraries for front-end web applications.Create secure and reliable solutions with a proper blend of…"
102,Principal Python Developer - Digital Engineering,CAPCO,London,,,Posted30+ days ago,"Be part of Capco’s UK Engineering team, developing new and enhancing existing financial and data solutions for clients across the spectrum of Financial Services…"
103,Senior Python developer,Luxoft,London,,,Posted13 days ago,"Senior developer skills utilizing Python fundamentals.Use BDD techniques, collaborating closely with users, analysts, developers and other testers."
104,Junior Python Web Developer,Ashdown Group,London,4.6,"£48,000 a year",Posted30+ days ago,"In order to be suitable for this role you must have full-stack development experience building complex software / applications in Python, Django and SQL."
105,Lead Full Stack Developer,Data Idols,London,,,Posted6 days ago,As a Lead Full Stack Developer you will be responsible for maintaining and improving existing systems but also play a key part in building out new and large…
106,Polyglot Developer (Java / Python /Go),Linux Recruit,London,,,Posted30+ days ago,"Artifical Intelligence is the area to be working in these days, as a Polyglot Developer, where the majority of the cutting edge work is being done. This…"
107,Python developer,La Fosse Associates,London,4.8,Up to £850 a day,Posted30+ days ago,"Python, Azure Data Engineer, Microsoft Azure, Developer, Python Developer.Up to £850 per day.Full stack Python Developers - Contract - London/Remote upto £850…"
108,Qlik Developer,Euromoney Institutional Investor PLC,London EC4Y,3.7,Full-time,Posted30+ days ago,REPORTS TO: Head of Commercial Finance.We launched Fastmarkets as the business’s master brand internally in the summer of 2018 and externally in October.
109,Senior Applications Developer,NFER,Slough,3.5,Full-time,Posted3 days ago,"As an Applications Developer, you’ll translate software requirements into workable programming code and maintain and develop programs and bespoke web…"
110,Senior Python Developer in Test (Advanced Management),Acronis,London,,,Posted30+ days ago,"This position is mainly responsible for implementing automated scenarios testing.Design, implement and execute automated test scenarios."
111,Quantitative Python Developer - Fixed Income Trading team,Millennium Management LLC,London,,,Posted30+ days ago,"With 2+ years experiences working as a quant developer role.As the quantitative developer of our team, the ideal candidate will be solving quantitative…"
112,ServiceNow CMDB Developer,Centrica,Remote in Windsor SL4,3.4,Full-time,Posted3 days ago,"Package: Competitive base salary, plus healthcare, annual bonus, pension options and 25 days holiday.Identify, recommend, and pursue opportunities to increase…"
113,HIL Software Test Engineer,Bertrandt,Laindon,,,Posted30+ days ago,"Writing and executing automated test scripts on HIL rigs.Test script automation, Python, dSPACE HIL rigs toolchain."
114,Associate Software Developer Apprentice,Pearson,Remote in London,3.7,"£22,000 - £25,000 a year",Posted21 days ago,"Role: Associate Software Developer (Apprentice, full time).We currently operate a hybrid estate of predominantly bespoke systems, with an ongoing strategic…"
115,Software Developer (Python),Linux Recruit,London,,,Posted30+ days ago,This innovative piece of technology connects creative professionals with each other anywhere in the world and allows them edit real time film.
116,Software Engineering,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted14 days ago,"Our main clients are Equities Market Risk and Product Control, for whom we provide the technology to allow them to understand, manage and report the firm's…"
117,eTrading Developer,UBS,London,3.8,Full-time,Posted30+ days ago,"Linux / python / spark / time series database experience also desirable.Quantitative Analysis, Sales and trading.Strong Java programming (a must)."
118,Senior Python Developer,Sage,Remote in London,,,Posted30+ days ago,"4+ years of experience in building services, backend processes and API's in Python with tools like Flask or FastAPI."
119,Software Testing Engineer,McLaren,Woking,3.2,£100 a day,Posted17 days ago,"Work closely with software developers plan, design, and execute testing to support the in-house software development using agile methodologies."
120,Junior Quantitative Developer,Legal & General Group Plc.,London,,,Posted30+ days ago,"Competitive + Bonus + Benefits.We undertake projects, are product owners of Investments specific applications and run an enablement function to increase…"
121,Python Web Developer,Sky,London,3.4,Full-time,Posted30+ days ago,"To be suitable for this role you must have demonstrable experience in a Front-End development, Web development or a similar area designing, building, and…"
122,Quantitative Developer,Citi,London,,,Posted30+ days ago,The team develops and maintains the Xi library that underpins MQA's commitments to the XiNG initiative.Refining existing XiNG interfaces as requirements evolve…
123,Developer Tech Engineer,UBS,London,3.8,Full-time,Posted30+ days ago,"Be part of a software development team to produce high quality applications.Analyze and understand business and technical stories, writing code, implementing…"
124,Python on Embedded Linux Software Engineer,Expert Employment,London,,,Posted2 days ago,"Python on embedded Linux Software Engineer required to work on the evolution of a IoT device with time series camera data, GPS, accelerometers and more."
125,AI Developer,FNZ,London,3.3,Full-time,Posted30+ days ago,"The AI team are a dedicated & focused team in AMI and this role is within the FNZ’s Proposition team, which provides AI solutions to FNZ’s operations."
126,Backend Engineer (Python),TrueCircle,London,,,Posted30+ days ago,You will be responsible for developing the software required for our initial computer vision based products that are solving some of the most challenging…
127,Python Software Engineer - Equity Derivatives Group,"JPMorgan Chase Bank, N.A.",London,3.8,Full-time,Posted16 days ago,"This team's responsibility includes the design, build and support of the platform to create and sell equity derivative products."
128,Software Development Engineer - Python Full Stack Cloud Deve...,Amazon Dev Centre (London) Ltd,London,3.5,Full-time,Posted30+ days ago,Prior experience of mentoring Software Engineers / Junior Engineers.Solid architectural and design skills.Proficiency in the English language.
129,Software Developer In Test (Python),Linux Recruit,Hybrid remote in London,,,Posted30+ days ago,You will come in and be responsible for the development and implementation of their test automation and CI/CD practices.
130,Senior Software Engineer - Golang or Python - Developer Expe...,Credit Suisse,London,3.9,Full-time,Posted30+ days ago,The Developer Experience Team is responsible to make Developers in Credit Suisse Happy & Productive by providing developer tools and automation capabilities.
131,Summer 2022 Technical Developer,"Baker Tilly US, LLP",London EC2Y,3.9,Full-time +1,Posted30+ days ago,"Baker Tilly’s Digital Consulting Practice combines deep functional, industry, and technical capabilities to help clients solve their toughest enterprise digital…"
132,"Python Developer - Tech-for-Good [Django, AWS]",Explore Group,London,4.4,"£60,000 - £80,000 a year",Posted30+ days ago,"A Tech-for-good start-up who are changing the way Cancer Patients are cared for, are looking for Mid-senior level Python Developers to join them on a permanent…"
133,Senior Python Developer,Salt Recruitment,Remote in Greater London,3.3,"£70,000 - £90,000 a year",Posted30+ days ago,We have partnered with a start up SASS company that provides a platform to master product marketing with seamless sampling and integrated campaigns. They are…
134,C# Engineer,Millennium Management LLC,London,,,Posted30+ days ago,"Work jointly with portfolio managers, analysts, and quants capturing requirements and developing tactical and strategic solutions."
135,Python Backend Developer,TechNET IT Recruitment Ltd,London,4.5,"£70,000 - £85,000 a year",Posted30+ days ago,5+ years python development experience.London (Remote) + 2x travel to office a week.Define architecture and technology stack alongside the CTO.
136,Full-Stack Software Engineer AWS/Python,"JPMorgan Chase Bank, N.A.",London,,,Posted16 days ago,"You will need to interact with platform developers, engineering and developer communities and leverage infrastructure that already exists in the firm as well as…"
137,"Developer / Senior Developer, Model Development Team - Londo...",Fitch Group,London,,,Posted7 days ago,"In this position, you will have the opportunity to develop or enhance highly reliable and robust tools and services to run ratings models on AWS."
138,Application Support Developer,psKINETIC,Hybrid remote in London SE1,,,Posted30+ days ago,"Providing solution support to end-users of psKINETIC solutions.Managing technical issues from end-to-end, including, information gathering, troubleshooting,…"
139,Python Developer - Credit Desk Risk Reporting team,Bank of America,London,,,Posted30+ days ago,The role is a Python Developer in the Credit Technology Risk and Reporting team supporting the EMEA Credit Trading desk.Excellent experience in Fixed Income.
140,Cloud Engineer,"JPMorgan Chase Bank, N.A.",London,,,Posted5 days ago,This is a development role which will require you to apply your knowledge of modern architecture principals and both the internal cloud platforms as well as the…
141,"Software Developer (All Levels) – Imaging, Shoot",DNEG,London W1W,,,Posted30+ days ago,As a software developer within the Imaging team at DNEG you will initially be working on DNEG's proprietary shoot tools which are developed in C++ and Python.
142,Python Developer - Derivatives - London,Modis UK,Remote in London,,,Posted13 days ago,The role requires the developer to collaborate and therefore must possess strong communication skills and be adaptable.
143,Senior Full Stack Developer - (Python),QuantSpark,Hybrid remote in London SE1,,,Posted30+ days ago,We go beyond the remit of traditional strategy consultancies by blending advanced data analytics and software engineering capabilities to build analytical tools…
144,Python / Django Developer,Ashdown Group,London,4.6,"£65,000 a year",Posted30+ days ago,"Based from impressive offices in central London, the successful candidate will assist with adapting the core application, developing additional features,…"
145,Senior Manager - Sustainable Investments Developer,LSEG (London Stock Exchange Group),London,,,Posted30+ days ago,Helps to implement the software development strategy in alignment with broader Group technology strategy and provides oversight and direction to a team of…
146,Software Engineer,BBC,London,,,Posted3 days ago,"We are responsible for providing preferred systems and solutions with the aim to be the accelerator for product teams, helping developers to build reliable…"
147,Digital Developer - London,Atkins,London,,,Posted30+ days ago,Work within the BD Research & Innovation team to drive development of practical and applicable solutions to design challenges across a range of sectors and…
148,Senior Python Developer,Citi,London,,,Posted30+ days ago,"Work closely with quants and traders on multiple trading desks to design, develop, deploy and support new innovative business solutions."
149,Applications Developer,NFER,Slough,3.5,"£30,000 - £42,000 a year",Posted30+ days ago,"As an Applications Developer, you’ll translate software requirements into workable programming code and maintain and develop programs and bespoke web…"
150,Backend Developer - Renewable Generation,Octopus Energy,London,,,Posted30+ days ago,Experience in the creation of the webservice backend for web apps using Python/Django.A strong understanding of the Python ecosystem with 3+ years of…
151,Commodities Quantitative Developer,Balyasny Asset Management,London,,,Posted30+ days ago,"BAM exists at the intersection of finance and technology, combining the deep industry knowledge of leading portfolio managers and financial analysts with…"
152,2023 Summer Internship - Software Engineer - LDN,Capstone,London,,,Posted30+ days ago,"These applications include investment management tools for traders, systems to automatically process trades, tools for accounting, legal and compliance as well…"
153,Python Engineer,UBS,London,,,Posted30+ days ago,"A solid mix of infrastructure, engineering, and developer experience.Design, develop, document, and maintain software components using an Agile process."
154,Full Stack Java/Python Tech Engineer,UBS,London,,,Posted30+ days ago,"Analyze and understand business and technical stories, writing code, implementing automated tests, contributing to release and iteration planning and developing…"
155,Python Developer,Trust In Soda,London,,,Posted24 days ago,Our Financial Services consultancy client is on the lookout for a Python Developer to provide support for a Tier 1 Global Bank to assist in creating a Data…
156,"Cloud Infrastructure Engineer, Professional Services, Google...",Google,London,,,Posted24 days ago,"Bachelor's degree in Computer Science, Mathematics, related technical field, or equivalent practical experience.Travel 30% of the time as needed."
157,Software Engineer,TikTok,London,,,Posted30+ days ago,"Build highly scalable systems including ad fraud detection, risk control, ads integrity systems, to improve TikTok user's experiences with ads across the…"
